id,familia,marca
13889,7.0,44.0
85088,1.0,29.0
112391,1.0,269.0
20053,1.0,9.0
21067,7.0,76.0
78108,1.0,234.0
32608,7.0,33.0
15635,7.0,44.0
69597,8.0,27.0
19164,7.0,186.0
12818,8.0,18.0
82689,1.0,237.0
85114,1.0,29.0
77110,1.0,7.0
29072,1.0,32.0
25773,1.0,23.0
21463,7.0,98.0
21809,7.0,98.0
9106,1.0,18.0
15783,7.0,44.0
21783,6.0,98.0
78795,1.0,21.0
29978,7.0,33.0
26237,1.0,23.0
18498,7.0,186.0
90130,1.0,18.0
74930,1.0,7.0
26063,1.0,23.0
87515,1.0,249.0
13435,7.0,2.0
15925,1.0,185.0
20541,7.0,67.0
103344,1.0,7.0
16903,7.0,186.0
18214,7.0,186.0
15611,7.0,44.0
78757,1.0,21.0
17546,7.0,186.0
26427,1.0,23.0
76048,1.0,216.0
86251,1.0,247.0
81047,1.0,228.0
104665,1.0,248.0
74614,1.0,7.0
86211,1.0,218.0
31356,20.0,33.0
82219,1.0,235.0
66358,1.0,185.0
28330,5.0,196.0
85032,1.0,29.0
77880,1.0,213.0
35322,1.0,165.0
83664,1.0,7.0
89528,1.0,176.0
25435,1.0,20.0
31786,7.0,33.0
34206,1.0,156.0
66385,6.0,186.0
30758,20.0,33.0
27321,1.0,25.0
103154,1.0,7.0
20673,7.0,67.0
8972,1.0,18.0
68830,7.0,15.0
13711,7.0,44.0
92139,1.0,176.0
24523,1.0,20.0
81241,1.0,176.0
87287,1.0,176.0
25359,1.0,20.0
79777,1.0,21.0
90762,1.0,213.0
113663,1.0,18.0
12791,8.0,18.0
18338,7.0,186.0
30624,20.0,33.0
81087,1.0,228.0
25513,1.0,23.0
32612,7.0,33.0
14371,7.0,44.0
28240,5.0,196.0
27820,1.0,126.0
106060,1.0,226.0
34666,1.0,161.0
83696,1.0,7.0
32386,1.0,33.0
35058,1.0,161.0
21039,7.0,76.0
9229,1.0,18.0
81521,1.0,214.0
102678,1.0,7.0
11660,1.0,18.0
20287,7.0,67.0
17722,7.0,186.0
22291,7.0,193.0
67001,7.0,205.0
21853,7.0,98.0
35794,1.0,170.0
14791,7.0,44.0
87185,1.0,247.0
21393,1.0,191.0
113347,1.0,9.0
81021,1.0,228.0
25187,1.0,20.0
74001,1.0,219.0
112519,1.0,269.0
77382,1.0,227.0
36560,1.0,38.0
82609,1.0,236.0
23023,1.0,20.0
67778,1.0,10.0
81700,1.0,214.0
9281,1.0,9.0
79155,1.0,21.0
29620,9.0,33.0
17122,7.0,186.0
26971,1.0,25.0
31508,20.0,33.0
75418,1.0,7.0
26997,1.0,25.0
86911,1.0,270.0
74904,1.0,7.0
92001,1.0,176.0
17190,7.0,186.0
30782,20.0,33.0
88199,1.0,18.0
111517,1.0,174.0
33188,1.0,198.0
30522,7.0,33.0
19755,1.0,9.0
76284,1.0,18.0
69152,7.0,15.0
18732,7.0,186.0
18820,7.0,186.0
87267,1.0,176.0
69507,8.0,27.0
67013,7.0,205.0
21285,7.0,76.0
102969,1.0,7.0
107988,1.0,267.0
34198,1.0,156.0
79269,1.0,21.0
70617,8.0,27.0
9912,1.0,9.0
12770,8.0,18.0
90641,1.0,176.0
82008,1.0,235.0
84029,1.0,242.0
11308,1.0,18.0
89362,1.0,78.0
23089,1.0,20.0
12799,8.0,18.0
30890,9.0,33.0
22941,1.0,20.0
92271,1.0,176.0
74734,1.0,7.0
75236,1.0,7.0
78120,1.0,176.0
30180,7.0,33.0
33186,1.0,198.0
36324,1.0,170.0
89168,1.0,243.0
31296,20.0,33.0
26793,1.0,25.0
20853,7.0,76.0
73532,7.0,217.0
36912,2.0,38.0
23013,1.0,20.0
81535,1.0,214.0
35692,1.0,170.0
108529,1.0,65.0
92804,1.0,234.0
66102,7.0,15.0
68111,1.0,10.0
88307,1.0,239.0
18376,7.0,186.0
34852,1.0,161.0
92059,1.0,176.0
19318,7.0,186.0
28966,1.0,32.0
34576,1.0,161.0
28036,1.0,194.0
84402,1.0,221.0
29254,1.0,32.0
87899,1.0,251.0
87247,1.0,176.0
88001,1.0,251.0
16663,1.0,185.0
70855,1.0,140.0
26367,1.0,23.0
34098,1.0,156.0
22813,1.0,20.0
13843,6.0,44.0
84162,1.0,221.0
84408,1.0,221.0
13553,1.0,2.0
36518,1.0,202.0
88623,1.0,252.0
33600,1.0,198.0
18814,7.0,186.0
81944,1.0,235.0
77838,1.0,213.0
15077,7.0,44.0
85482,1.0,29.0
69777,8.0,27.0
25443,1.0,20.0
74013,1.0,219.0
28746,1.0,30.0
16853,7.0,186.0
16597,1.0,185.0
32482,7.0,33.0
30920,9.0,33.0
14717,7.0,44.0
93448,1.0,218.0
27393,1.0,25.0
14883,7.0,44.0
77148,1.0,7.0
34776,1.0,161.0
104322,1.0,228.0
20489,7.0,67.0
73425,1.0,213.0
10561,1.0,1.0
19432,7.0,186.0
31496,20.0,33.0
82967,1.0,214.0
20499,7.0,67.0
20723,9.0,188.0
82413,1.0,214.0
20715,9.0,188.0
21663,6.0,98.0
28694,1.0,30.0
71416,9.0,211.0
30878,9.0,33.0
37094,1.0,38.0
20555,7.0,67.0
10348,1.0,176.0
32898,20.0,33.0
85686,1.0,29.0
90770,1.0,213.0
76385,1.0,18.0
69407,8.0,27.0
20707,7.0,67.0
93454,1.0,218.0
84540,1.0,221.0
33936,1.0,156.0
68394,9.0,39.0
113668,1.0,18.0
26355,1.0,23.0
82719,1.0,237.0
22791,1.0,20.0
77944,1.0,213.0
37140,1.0,38.0
92924,1.0,218.0
89470,1.0,216.0
33032,5.0,33.0
35420,1.0,165.0
9634,1.0,18.0
89846,1.0,18.0
25909,1.0,23.0
17144,7.0,186.0
26603,1.0,23.0
8493,1.0,177.0
68635,1.0,206.0
35424,1.0,165.0
102995,1.0,7.0
12826,8.0,18.0
81808,1.0,235.0
82871,1.0,213.0
32038,18.0,33.0
106160,1.0,226.0
103923,1.0,7.0
33640,1.0,198.0
106892,1.0,226.0
67357,7.0,39.0
86345,1.0,247.0
103390,1.0,65.0
18812,7.0,186.0
33392,1.0,198.0
23559,1.0,20.0
24653,1.0,20.0
75404,1.0,7.0
22631,1.0,20.0
110547,1.0,174.0
81948,1.0,235.0
